Date,Share Price,NAV,Discount
09/08/2022,$22.57 ,$22.57 ,0.00%
09/07/2022,$22.72 ,$22.43 ,1.29%
09/06/2022,$22.22 ,$22.00 ,1.00%
09/02/2022,$22.36 ,$22.16 ,0.90%
09/01/2022,$22.63 ,$22.47 ,0.71%
8/31/2022 ,$22.59 ,$22.45 ,0.62%
8/30/2022 ,$22.86 ,$22.59 ,1.20%
8/29/2022 ,$23.09 ,$22.82 ,1.18%
8/26/2022 ,$23.48 ,$23.04 ,1.91%
8/25/2022 ,$24.01 ,$23.89 ,0.50%
8/24/2022 ,$23.75 ,$23.53 ,0.93%
8/23/2022 ,$23.78 ,$23.51 ,1.15%
8/22/2022 ,$24.10 ,$23.53 ,2.42%
8/19/2022 ,$24.51 ,$24.06 ,1.87%
8/18/2022 ,$24.74 ,$24.43 ,1.27%
8/17/2022 ,$24.70 ,$24.35 ,1.44%
8/16/2022 ,$24.98 ,$24.52 ,1.88%
8/15/2022 ,$25.04 ,$24.52 ,2.12%
08/12/2022,$24.99 ,$24.46 ,2.17%
08/11/2022,$24.77 ,$24.17 ,2.48%
08/10/2022,$24.97 ,$24.28 ,2.84%
08/09/2022,$24.44 ,$23.88 ,2.35%
08/08/2022,$24.72 ,$24.03 ,2.87%
08/05/2022,$24.63 ,$24.11 ,2.16%
08/04/2022,$25.08 ,$24.21 ,3.59%
08/03/2022,$25.04 ,$24.20 ,3.47%
08/02/2022,$24.41 ,$23.84 ,2.39%
08/01/2022,$24.52 ,$23.86 ,2.77%
7/28/2022 ,$24.31 ,$23.60 ,3.01%
7/27/2022 ,$24.13 ,$23.57 ,2.38%
7/26/2022 ,$23.47 ,$22.84 ,2.76%
7/25/2022 ,$23.87 ,$23.20 ,2.89%
7/22/2022 ,$24.08 ,$23.26 ,3.53%
7/21/2022 ,$24.31 ,$23.59 ,3.05%
7/20/2022 ,$24.00 ,$23.31 ,2.96%
7/19/2022 ,$23.67 ,$23.05 ,2.69%
7/18/2022 ,$23.21 ,$22.52 ,3.06%
