Date,Share Price,NAV,Discount
11/23/2022 ,$17.12 ,$20.60 ,-16.89%
11/22/2022 ,$17.12 ,$20.39 ,-16.04%
11/21/2022 ,$16.80 ,$20.35 ,-17.44%
11/18/2022 ,$17.01 ,$20.60 ,-17.43%
11/17/2022 ,$17.18 ,$20.72 ,-17.08%
11/16/2022 ,$16.93 ,$20.92 ,-19.07%
11/15/2022 ,$17.49 ,$21.25 ,-17.69%
11/14/2022 ,$17.24 ,$20.92 ,-17.59%
11/11/2022,$17.68 ,$21.18 ,-16.53%
11/10/2022,$17.62 ,$20.61 ,-14.51%
11/09/2022,$16.30 ,$19.70 ,-17.26%
11/08/2022,$16.73 ,$20.08 ,-16.68%
11/07/2022,$16.75 ,$20.05 ,-16.46%
11/04/2022,$16.79 ,$20.18 ,-16.80%
11/03/2022,$16.62 ,$20.17 ,-17.60%
11/02/2022,$16.75 ,$20.29 ,-17.45%
11/01/2022,$17.24 ,$20.87 ,-17.39%
10/31/2022 ,$17.27 ,$20.85 ,-17.17%
10/28/2022 ,$17.43 ,$20.98 ,-16.92%
10/27/2022 ,$17.23 ,$21.12 ,-18.42%
10/26/2022 ,$17.13 ,$21.32 ,-19.65%
10/25/2022 ,$17.49 ,$21.18 ,-17.42%
10/24/2022 ,$16.82 ,$20.70 ,-18.74%
10/21/2022 ,$17.01 ,$20.77 ,-18.10%
10/20/2022 ,$16.95 ,$20.44 ,-17.07%
10/19/2022 ,$16.84 ,$20.53 ,-17.97%
10/18/2022 ,$17.09 ,$20.67 ,-17.32%
10/17/2022 ,$17.04 ,$20.41 ,-16.51%
10/14/2022 ,$16.80 ,$19.95 ,-15.79%
10/13/2022 ,$17.56 ,$20.49 ,-14.30%
10/12/2022,$17.52 ,$20.46 ,-14.37%
10/11/2022,$17.60 ,$20.50 ,-14.15%
10/10/2022,$17.46 ,$20.92 ,-16.54%
10/07/2022,$17.59 ,$21.39 ,-17.77%
10/06/2022,$18.15 ,$22.01 ,-17.54%
10/05/2022,$18.25 ,$22.04 ,-17.20%
10/04/2022,$18.43 ,$21.95 ,-16.04%
10/03/2022,$17.91 ,$21.40 ,-16.31%
9/30/2022 ,$17.64 ,$21.10 ,-16.40%
9/29/2022 ,$17.58 ,$21.23 ,-17.19%
9/28/2022 ,$18.04 ,$21.36 ,-15.54%
9/27/2022 ,$17.69 ,$20.99 ,-15.72%
9/26/2022 ,$17.80 ,$21.02 ,-15.32%
9/23/2022 ,$18.21 ,$21.19 ,-14.06%
9/22/2022 ,$18.84 ,$21.69 ,-13.14%
9/21/2022 ,$19.36 ,$22.18 ,-12.71%
9/20/2022 ,$19.50 ,$22.47 ,-13.22%
9/19/2022 ,$19.72 ,$22.67 ,-13.01%
9/16/2022 ,$19.63 ,$22.63 ,-13.26%
9/15/2022 ,$20.01 ,$22.87 ,-12.51%
9/14/2022 ,$20.33 ,$23.17 ,-12.26%
9/13/2022 ,$20.50 ,$23.28 ,-11.94%
09/12/2022,$21.15 ,$23.90 ,-11.51%
09/09/2022,$20.93 ,$23.62 ,-11.39%
09/08/2022,$20.62 ,$23.10 ,-10.74%
09/07/2022,$20.53 ,$22.93 ,-10.47%
09/06/2022,$20.06 ,$22.62 ,-11.32%
09/02/2022,$20.29 ,$22.78 ,-10.93%
09/01/2022,$20.23 ,$22.95 ,-11.85%
8/31/2022 ,$20.41 ,$23.42 ,-12.85%
8/30/2022 ,$20.18 ,$23.57 ,-14.38%
8/29/2022 ,$20.36 ,$23.50 ,-13.36%
8/26/2022 ,$20.47 ,$23.85 ,-14.17%
8/25/2022 ,$21.06 ,$24.39 ,-13.65%
8/24/2022 ,$20.67 ,$23.99 ,-13.84%
8/23/2022 ,$20.50 ,$23.89 ,-14.19%
8/22/2022 ,$20.81 ,$23.84 ,-12.71%
8/19/2022 ,$21.60 ,$24.27 ,-11.00%
8/18/2022 ,$22.26 ,$24.78 ,-10.17%
8/17/2022 ,$22.01 ,$24.67 ,-10.78%
8/16/2022 ,$22.38 ,$24.96 ,-10.34%
8/15/2022 ,$22.79 ,$25.06 ,-9.06%
08/12/2022,$22.99 ,$25.00 ,-8.04%
08/11/2022,$22.46 ,$24.95 ,-9.98%
08/10/2022,$22.62 ,$25.10 ,-9.88%
08/09/2022,$21.95 ,$24.58 ,-10.70%
08/08/2022,$22.52 ,$24.81 ,-9.23%
08/05/2022,$22.29 ,$24.76 ,-9.98%
08/04/2022,$22.02 ,$24.77 ,-11.10%
08/03/2022,$21.82 ,$24.56 ,-11.16%
08/02/2022,$21.25 ,$24.08 ,-11.75%
08/01/2022,$21.14 ,$23.94 ,-11.70%
7/28/2022 ,$21.23 ,$23.80 ,-10.80%
7/27/2022 ,$20.59 ,$23.59 ,-12.72%
7/26/2022 ,$19.90 ,$23.09 ,-13.82%
7/25/2022 ,$20.40 ,$23.45 ,-13.01%
7/22/2022 ,$20.41 ,$23.69 ,-13.85%
7/21/2022 ,$21.00 ,$24.02 ,-12.57%
7/20/2022 ,$21.16 ,$23.50 ,-9.96%
7/19/2022 ,$20.82 ,$23.09 ,-9.83%
7/18/2022 ,$20.09 ,$22.63 ,-11.22%
7/15/2022 ,$20.05 ,$22.55 ,-11.09%
7/14/2022 ,$19.94 ,$22.31 ,-10.62%
7/13/2022 ,$20.16 ,$22.52 ,-10.48%
07/12/2022,$20.65 ,$22.55 ,-8.43%
07/11/2022,$20.89 ,$23.31 ,-10.38%
07/08/2022,$21.62 ,$23.78 ,-9.08%
07/07/2022,$21.56 ,$23.73 ,-9.14%
07/06/2022,$20.98 ,$23.23 ,-9.69%
07/05/2022,$20.52 ,$23.19 ,-11.51%
07/01/2022,$19.90 ,$22.85 ,-12.91%
6/30/2022 ,$19.59 ,$22.88 ,-14.38%
6/29/2022 ,$20.41 ,$23.14 ,-11.80%
6/28/2022 ,$20.64 ,$24.33 ,-15.17%
6/27/2022 ,$21.18 ,$24.91 ,-14.97%
6/24/2022 ,$21.36 ,$24.80 ,-13.87%
6/23/2022 ,$20.57 ,$24.00 ,-14.29%
6/22/2022 ,$20.08 ,$23.67 ,-15.17%
