Date,Share Price,NAV,Discount
10/26/2022 ,$30.41 ,$31.59 ,-3.74%
10/25/2022 ,$31.20 ,$31.63 ,-1.36%
10/24/2022 ,$30.27 ,$31.06 ,-2.54%
10/21/2022 ,$29.65 ,$31.01 ,-4.39%
10/20/2022 ,$29.13 ,$30.43 ,-4.27%
10/19/2022 ,$29.13 ,$30.53 ,-4.59%
10/18/2022 ,$29.20 ,$30.61 ,-4.61%
10/17/2022 ,$29.01 ,$30.22 ,-4.00%
10/14/2022 ,$28.35 ,$29.54 ,-4.03%
10/13/2022 ,$29.06 ,$30.31 ,-4.12%
10/12/2022,$28.87 ,$30.13 ,-4.18%
10/11/2022,$28.78 ,$30.20 ,-4.70%
10/10/2022,$29.44 ,$30.73 ,-4.20%
10/07/2022,$29.93 ,$31.25 ,-4.22%
10/06/2022,$31.02 ,$32.23 ,-3.75%
10/05/2022,$31.02 ,$32.35 ,-4.11%
10/04/2022,$31.25 ,$32.25 ,-3.10%
10/03/2022,$30.12 ,$31.55 ,-4.53%
9/30/2022 ,$29.38 ,$31.02 ,-5.29%
9/29/2022 ,$29.42 ,$31.34 ,-6.13%
9/28/2022 ,$30.40 ,$31.71 ,-4.13%
9/27/2022 ,$29.94 ,$31.30 ,-4.35%
9/26/2022 ,$29.79 ,$31.33 ,-4.92%
9/23/2022 ,$30.27 ,$31.59 ,-4.18%
9/22/2022 ,$31.05 ,$32.18 ,-3.51%
9/21/2022 ,$31.87 ,$32.82 ,-2.89%
9/20/2022 ,$32.17 ,$33.37 ,-3.60%
9/19/2022 ,$32.55 ,$33.65 ,-3.27%
9/16/2022 ,$32.66 ,$33.57 ,-2.71%
9/15/2022 ,$33.11 ,$33.83 ,-2.13%
9/14/2022 ,$34.04 ,$34.25 ,-0.61%
9/13/2022 ,$34.54 ,$34.39 ,0.44%
09/12/2022,$35.82 ,$35.47 ,0.99%
09/09/2022,$35.50 ,$35.06 ,1.25%
09/08/2022,$34.53 ,$34.39 ,0.41%
09/07/2022,$34.76 ,$34.20 ,1.64%
09/06/2022,$33.97 ,$33.74 ,0.68%
09/02/2022,$34.19 ,$33.92 ,0.80%
09/01/2022,$34.50 ,$34.18 ,0.94%
8/31/2022 ,$35.07 ,$34.65 ,1.21%
8/30/2022 ,$34.81 ,$34.84 ,-0.09%
8/29/2022 ,$35.35 ,$34.81 ,1.55%
8/26/2022 ,$35.40 ,$35.36 ,0.11%
8/25/2022 ,$36.22 ,$36.27 ,-0.14%
8/24/2022 ,$36.03 ,$35.66 ,1.04%
8/23/2022 ,$35.77 ,$35.54 ,0.65%
8/22/2022 ,$35.60 ,$35.65 ,-0.14%
8/19/2022 ,$36.53 ,$36.40 ,0.36%
8/18/2022 ,$37.47 ,$36.99 ,1.30%
8/17/2022 ,$37.49 ,$36.92 ,1.54%
8/16/2022 ,$37.90 ,$37.25 ,1.74%
8/15/2022 ,$38.46 ,$37.34 ,3.00%
08/12/2022,$38.73 ,$37.18 ,4.17%
08/11/2022,$37.81 ,$37.10 ,1.91%
08/10/2022,$37.94 ,$37.17 ,2.07%
08/09/2022,$37.05 ,$36.49 ,1.53%
08/08/2022,$37.41 ,$36.81 ,1.63%
08/05/2022,$37.34 ,$36.83 ,1.38%
08/04/2022,$37.20 ,$36.93 ,0.73%
08/03/2022,$37.50 ,$36.66 ,2.29%
08/02/2022,$37.19 ,$36.00 ,3.31%
08/01/2022,$37.27 ,$36.07 ,3.33%
7/28/2022 ,$35.99 ,$35.80 ,0.53%
7/27/2022 ,$35.35 ,$35.28 ,0.20%
7/26/2022 ,$33.86 ,$34.60 ,-2.14%
7/25/2022 ,$34.84 ,$35.10 ,-0.74%
7/22/2022 ,$34.92 ,$35.44 ,-1.47%
7/21/2022 ,$34.81 ,$35.82 ,-2.82%
7/20/2022 ,$34.20 ,$35.16 ,-2.73%
7/19/2022 ,$33.79 ,$34.56 ,-2.23%
7/18/2022 ,$33.45 ,$33.83 ,-1.12%
7/15/2022 ,$33.86 ,$33.79 ,0.21%
7/14/2022 ,$33.11 ,$33.43 ,-0.96%
7/13/2022 ,$33.61 ,$33.64 ,-0.09%
07/12/2022,$33.47 ,$33.68 ,-0.62%
07/11/2022,$33.90 ,$34.43 ,-1.54%
07/08/2022,$34.16 ,$34.96 ,-2.29%
07/07/2022,$34.09 ,$34.85 ,-2.18%
07/06/2022,$33.47 ,$34.21 ,-2.16%
07/05/2022,$33.52 ,$34.03 ,-1.50%
07/01/2022,$33.18 ,$33.60 ,-1.25%
6/30/2022 ,$32.49 ,$33.56 ,-3.19%
6/29/2022 ,$33.71 ,$33.96 ,-0.74%
6/28/2022 ,$34.07 ,$35.05 ,-2.80%
6/27/2022 ,$34.62 ,$35.99 ,-3.81%
6/24/2022 ,$34.71 ,$35.94 ,-3.42%
6/23/2022 ,$33.29 ,$34.78 ,-4.28%
6/22/2022 ,$32.83 ,$34.39 ,-4.54%
6/21/2022 ,$32.75 ,$34.36 ,-4.69%
6/17/2022 ,$32.17 ,$33.70 ,-4.54%
6/16/2022 ,$31.25 ,$33.58 ,-6.94%
6/15/2022 ,$33.46 ,$34.61 ,-3.32%
6/14/2022 ,$33.30 ,$34.05 ,-2.20%
6/13/2022 ,$33.36 ,$34.56 ,-3.47%
06/10/2022,$35.10 ,$36.11 ,-2.80%
06/09/2022,$36.58 ,$37.18 ,-1.61%
06/08/2022,$37.24 ,$37.98 ,-1.95%
06/07/2022,$37.80 ,$38.12 ,-0.84%
06/06/2022,$37.83 ,$37.78 ,0.13%
06/03/2022,$37.45 ,$37.67 ,-0.58%
06/02/2022,$38.24 ,$38.21 ,0.08%
06/01/2022,$37.06 ,$37.19 ,-0.35%
5/31/2022 ,$37.43 ,$37.37 ,0.16%
5/27/2022 ,$37.70 ,$37.63 ,0.19%
5/26/2022 ,$36.07 ,$36.57 ,-1.37%
5/25/2022 ,$35.19 ,$35.71 ,-1.46%
5/24/2022 ,$34.48 ,$35.69 ,-3.39%
5/23/2022 ,$35.69 ,$36.72 ,-2.81%
5/20/2022 ,$35.02 ,$36.38 ,-3.74%
5/19/2022 ,$35.35 ,$36.19 ,-2.32%
5/18/2022 ,$35.16 ,$36.22 ,-2.93%
5/17/2022 ,$36.77 ,$37.29 ,-1.39%
5/16/2022 ,$35.51 ,$36.88 ,-3.71%
5/13/2022 ,$36.09 ,$37.14 ,-2.83%
05/12/2022,$34.48 ,$36.00 ,-4.22%
05/11/2022,$34.62 ,$36.10 ,-4.10%
05/10/2022,$35.98 ,$37.07 ,-2.94%
05/09/2022,$35.66 ,$37.18 ,-4.09%
05/06/2022,$37.63 ,$38.91 ,-3.29%
05/05/2022,$38.01 ,$39.51 ,-3.80%
05/04/2022,$39.97 ,$41.17 ,-2.91%
05/03/2022,$38.78 ,$40.30 ,-3.77%
05/02/2022,$38.69 ,$40.39 ,-4.21%
4/29/2022 ,$37.64 ,$39.98 ,-5.85%
4/28/2022 ,$38.70 ,$41.13 ,-5.91%
4/27/2022 ,$37.39 ,$38.97 ,-4.05%
4/26/2022 ,$37.57 ,$39.27 ,-4.33%
4/25/2022 ,$38.85 ,$40.52 ,-4.12%
4/22/2022 ,$39.01 ,$40.34 ,-3.30%
4/21/2022 ,$40.01 ,$41.37 ,-3.29%
4/20/2022 ,$40.81 ,$42.31 ,-3.55%
4/19/2022 ,$40.82 ,$42.59 ,-4.16%
4/18/2022 ,$39.79 ,$42.04 ,-5.35%
4/14/2022 ,$39.78 ,$42.28 ,-5.91%
4/13/2022 ,$40.90 ,$42.96 ,-4.80%
04/12/2022,$40.40 ,$42.52 ,-4.99%
04/11/2022,$40.44 ,$42.72 ,-5.34%
04/08/2022,$41.55 ,$43.44 ,-4.35%
04/07/2022,$42.18 ,$43.98 ,-4.09%
