Date,Share Price,NAV,Discount
6/23/2023 ,$29.41 ,$26.61 ,10.52%
6/22/2023 ,$30.03 ,$26.95 ,11.43%
6/20/2023 ,$30.55 ,$27.18 ,12.40%
6/16/2023 ,$30.76 ,$27.37 ,12.39%
6/15/2023 ,$31.35 ,$27.65 ,13.38%
6/14/2023 ,$31.30 ,$27.67 ,13.12%
6/13/2023 ,$31.15 ,$27.63 ,12.74%
06/12/2023,$30.88 ,$27.44 ,12.54%
06/09/2023,$30.20 ,$26.94 ,12.10%
06/08/2023,$30.28 ,$27.00 ,12.15%
06/07/2023,$29.74 ,$26.94 ,10.39%
06/06/2023,$29.73 ,$26.83 ,10.81%
06/05/2023,$29.56 ,$26.66 ,10.88%
06/02/2023,$29.72 ,$26.85 ,10.69%
06/01/2023,$29.27 ,$26.77 ,9.34%
5/31/2023 ,$28.94 ,$26.57 ,8.92%
5/30/2023 ,$29.23 ,$26.78 ,9.15%
5/26/2023 ,$29.21 ,$26.82 ,8.91%
5/25/2023 ,$28.03 ,$25.93 ,8.10%
5/24/2023 ,$27.18 ,$25.24 ,7.69%
5/23/2023 ,$27.87 ,$25.55 ,9.08%
5/22/2023 ,$27.81 ,$25.90 ,7.37%
5/19/2023 ,$27.72 ,$25.76 ,7.61%
5/18/2023 ,$27.84 ,$25.84 ,7.74%
5/17/2023 ,$27.30 ,$25.46 ,7.23%
5/16/2023 ,$26.69 ,$25.03 ,6.63%
5/15/2023 ,$26.72 ,$25.07 ,6.58%
05/12/2023,$26.23 ,$24.66 ,6.37%
05/11/2023,$26.85 ,$25.08 ,7.06%
05/10/2023,$26.95 ,$25.15 ,7.16%
05/09/2023,$26.63 ,$24.94 ,6.78%
05/08/2023,$26.87 ,$25.17 ,6.76%
05/05/2023,$26.74 ,$25.09 ,6.58%
05/04/2023,$26.27 ,$24.52 ,7.14%
05/03/2023,$26.58 ,$24.78 ,7.26%
05/02/2023,$26.68 ,$24.85 ,7.36%
05/01/2023,$27.00 ,$25.13 ,7.44%
4/27/2023 ,$26.66 ,$24.88 ,7.15%
4/26/2023 ,$26.26 ,$24.59 ,6.79%
4/25/2023 ,$26.30 ,$24.61 ,6.87%
4/24/2023 ,$27.01 ,$25.21 ,7.14%
4/21/2023 ,$26.96 ,$25.29 ,6.60%
4/20/2023 ,$27.10 ,$25.42 ,6.61%
4/19/2023 ,$27.05 ,$25.42 ,6.41%
4/18/2023 ,$27.25 ,$25.63 ,6.32%
4/17/2023 ,$27.16 ,$25.57 ,6.21%
4/14/2023 ,$27.08 ,$25.53 ,6.07%
4/13/2023 ,$27.03 ,$25.58 ,5.67%
04/12/2023,$26.33 ,$25.24 ,4.32%
04/11/2023,$26.44 ,$25.45 ,3.89%
04/10/2023,$26.35 ,$25.50 ,3.33%
04/06/2023,$26.33 ,$25.25 ,4.28%
04/05/2023,$26.36 ,$25.35 ,3.98%
04/04/2023,$27.24 ,$25.60 ,6.41%
04/03/2023,$27.82 ,$25.95 ,7.21%
3/31/2023 ,$27.83 ,$26.03 ,6.92%
3/30/2023 ,$27.52 ,$25.70 ,7.08%
3/29/2023 ,$27.13 ,$25.44 ,6.64%
3/28/2023 ,$26.66 ,$24.88 ,7.15%
3/27/2023 ,$26.73 ,$25.09 ,6.54%
3/24/2023 ,$26.52 ,$25.24 ,5.07%
3/23/2023 ,$26.43 ,$25.41 ,4.01%
3/22/2023 ,$26.00 ,$25.00 ,4.00%
3/21/2023 ,$26.32 ,$25.38 ,3.70%
3/20/2023 ,$25.89 ,$25.11 ,3.11%
3/17/2023 ,$26.03 ,$24.85 ,4.75%
3/16/2023 ,$26.01 ,$25.00 ,4.04%
3/15/2023 ,$25.76 ,$24.38 ,5.66%
3/14/2023 ,$26.26 ,$24.64 ,6.57%
3/13/2023 ,$25.98 ,$24.13 ,7.67%
03/10/2023,$25.75 ,$24.20 ,6.40%
03/09/2023,$26.03 ,$24.73 ,5.26%
03/08/2023,$26.65 ,$25.20 ,5.75%
03/07/2023,$26.63 ,$24.89 ,6.99%
03/06/2023,$27.00 ,$25.22 ,7.06%
03/03/2023,$27.16 ,$25.35 ,7.14%
03/02/2023,$26.90 ,$24.97 ,7.73%
03/01/2023,$26.75 ,$24.80 ,7.86%
2/28/2023 ,$26.81 ,$24.84 ,7.93%
2/27/2023 ,$26.74 ,$24.80 ,7.82%
2/24/2023 ,$26.65 ,$24.70 ,7.89%
2/23/2023 ,$26.88 ,$25.10 ,7.09%
2/22/2023 ,$26.57 ,$24.83 ,7.01%
2/21/2023 ,$26.63 ,$24.77 ,7.51%
2/17/2023 ,$27.04 ,$25.43 ,6.33%
2/16/2023 ,$27.16 ,$25.66 ,5.85%
2/15/2023 ,$27.29 ,$25.91 ,5.33%
2/14/2023 ,$26.94 ,$25.66 ,4.99%
2/13/2023 ,$26.85 ,$25.44 ,5.54%
02/10/2023,$26.64 ,$25.30 ,5.30%
02/09/2023,$27.24 ,$25.78 ,5.66%
02/08/2023,$27.07 ,$25.83 ,4.80%
02/07/2023,$27.48 ,$26.10 ,5.29%
02/06/2023,$26.98 ,$25.62 ,5.31%
02/03/2023,$27.39 ,$25.97 ,5.47%
02/02/2023,$28.08 ,$26.34 ,6.61%
02/01/2023,$27.56 ,$26.03 ,5.88%
1/31/2023 ,$26.85 ,$25.37 ,5.83%
1/30/2023 ,$26.23 ,$25.01 ,4.88%
1/27/2023 ,$26.44 ,$25.41 ,4.05%
1/26/2023 ,$26.47 ,$25.50 ,3.80%
1/25/2023 ,$26.05 ,$25.17 ,3.50%
1/24/2023 ,$26.28 ,$25.09 ,4.74%
1/23/2023 ,$26.40 ,$25.24 ,4.60%
1/20/2023 ,$25.47 ,$24.50 ,3.96%
1/19/2023 ,$25.17 ,$23.85 ,5.53%
1/18/2023 ,$25.30 ,$24.20 ,4.55%
1/17/2023 ,$25.26 ,$24.34 ,0.00%
1/13/2023 ,$25.29 ,$24.30 ,4.07%
01/12/2023,$24.97 ,$24.19 ,3.22%
01/11/2023,$24.62 ,$24.03 ,2.46%
01/10/2023,$24.24 ,$23.67 ,2.41%
01/09/2023,$23.84 ,$23.44 ,1.71%
01/06/2023,$23.35 ,$23.22 ,0.56%
01/05/2023,$22.73 ,$22.48 ,1.11%
01/04/2023,$23.23 ,$22.85 ,1.66%
01/03/2023,$23.10 ,$22.55 ,2.44%
12/29/2022 ,$22.92 ,$22.63 ,1.28%
12/28/2022 ,$22.48 ,$21.98 ,2.25%
12/27/2022 ,$22.84 ,$22.28 ,2.51%
12/23/2022 ,$23.06 ,$22.48 ,2.58%
