Date,Adj Close,Close,High,Low,Open,Volume,Share Turnover,Weighted ST
23/02/2024,1.950000048,1.950000048,2.25999999,1.899999976,2.170000076,18604400,0.074242388,0.004052292025493703
01/03/2024,3.460000038,3.460000038,4.179999828,1.919999957,1.950000048,157127700,0.627031007,0.16455113667785995
08/03/2024,2.569999933,2.569999933,4.795000076,2.519999981,4.099999905,197846200,0.789521529,0.19162430282526025
15/03/2024,2.440000057,2.440000057,2.890000105,2.279999971,2.569999933,153607100,0.612981763,0.16165581125103168
22/03/2024,2.0,2.0,2.49000001,1.950000048,2.450000048,64662200,0.258039826,0.05312495729344738
29/03/2024,2.049999952,2.049999952,2.230000019,1.960000038,2.0,42098300,0.167996728,0.027174055132738885
05/04/2024,1.950000048,1.950000048,2.069999933,1.820000052,2.039999962,30080900,0.120040305,0.012073111677154668
12/04/2024,1.75,1.75,1.99000001,1.679999948,1.980000019,22837600,0.091135321,0.009479938687380637
19/04/2024,1.450000048,1.450000048,1.74000001,1.440000057,1.730000019,20860800,0.083246738,0.006741251410366954
26/04/2024,1.799999952,1.799999952,1.820000052,1.470000029,1.49000001,24659100,0.098404166,0.010265848731641113
03/05/2024,1.49000001,1.49000001,1.870000005,1.460000038,1.830000043,34142500,0.136248454,0.018007840689764763
10/05/2024,1.389999986,1.389999986,1.559999943,1.389999986,1.5,16001800,0.063856499,0.0017691349763664357
17/05/2024,1.50999999,1.50999999,1.710000038,1.399999976,1.429999948,31858500,0.127133964,0.014518329360838945
24/05/2024,1.570000052,1.570000052,1.639999986,1.480000019,1.519999981,20976000,0.083706453,0.008195272868064077
31/05/2024,1.5,1.5,1.610000014,1.470000029,1.590000033,12911000,0.051522407,0.0016912868892262505
07/06/2024,1.440000057,1.440000057,1.519999981,1.320000052,1.5,20016200,0.079876292,0.004410542345234036
14/06/2024,1.360000014,1.360000014,1.470000029,1.340000033,1.399999976,13271500,0.052961012,0.0027538858044377367
21/06/2024,1.289999962,1.289999962,1.360000014,1.179999948,1.350000024,13906700,0.05549583,0.0023379550116797198
28/06/2024,1.50999999,1.50999999,1.519999981,1.235000014,1.289999962,20270500,0.080891097,0.006366881025076853
05/07/2024,1.429999948,1.429999948,1.5,1.399999976,1.49000001,7848900,0.031321681,0.0013683071869355554
12/07/2024,1.610000014,1.610000014,1.629999995,1.409999967,1.429999948,17015400,0.067901353,0.003302926607908199
19/07/2024,1.480000019,1.480000019,1.669999957,1.450000048,1.620000005,16465500,0.065706932,0.0029903084617053616
26/07/2024,1.519999981,1.519999981,1.557999969,1.440000057,1.480000019,12656500,0.050506804,0.002494893490867777
02/08/2024,1.340000033,1.340000033,1.570000052,1.279999971,1.519999981,15281700,0.06098288,0.0037494546432791645
09/08/2024,1.210000038,1.210000038,1.279999971,1.164999962,1.169999957,11590600,0.046253242,0.0010061721829583371
